Description,Extracted
claykhakisandy,sand clay
claykhakisome,clay
gravelsandfine,gravel sand
claykhakisticky,clay
gravelsand,gravel sand
gravelsandfine,gravel sand
claywhitesandy,sand clay
claykhaki,clay
gravel,gravel
claykhaki,clay
claytraces,clay
claykhakisandy,sand clay
gravelmedium,gravel
gravel,gravel
claygreytraces,clay
claykhaki,clay
claylightbrown,clay
claykhakitraces,clay
gravelsandfine,gravel sand
gravelsandfine,gravel sand
claytraces,clay
gravelfinemedium,gravel
gravelsandfine,gravel sand
claygrey,clay
clay,clay
gravelsandmedium,gravel sand
gravelsandmediumcoarse,gravel sand
claylightbrownwhitesandy,sand clay
gravelsandfine,gravel sand
gravelsandveryfine,gravel sand
claylightbrownsilty,silty clay
topsoil,soil
boulders,boulders
claywhitesandy,sand clay
claywhitesandy,sand clay
gravelsandfine,gravel sand
sandwatersupply,sand water
clayyellow,clay
topsoil,soil
claywhite,clay
clayyellow,clay
claywhitesandy,sand clay
gravelsandywatersupply,gravel water sand
claywhite,clay
gravelwatersupply,gravel water
gravelwatersupply,gravel water
gravelwatersupply,gravel water
clayyellow,clay
gravelsomesandwatersupply,gravel water sand
gravelsomesandwatersupply,gravel water sand
sandfine,sand
conglomerate,conglomerate
sandfine,sand
claysandy,sand clay
clayred,clay
basalt,basalt
clayorange,clay
conglomerate,conglomerate
wash,
claysticky,clay
claysoftsilty,silty clay
claysandy,sand clay
sandfine,sand
clay,clay
sandfine,sand
clay,clay
conglomerate,conglomerate
conglomerate,conglomerate
sandsomegravelwatersupply,gravel water sand
coal,coal
conglomerate,conglomerate
gravelsandy,gravel sand
sandstone,sandstone
sandfine,sand
conglomerate,conglomerate
sandgravelwatersupply,gravel water sand
sandgravelwatersupply,gravel water sand
clay,clay
conglomerate,conglomerate
conglomerate,conglomerate
topsoilblack,soil
clayfinesandy,sand clay
topsoil,soil
gravelfinewatersupply,gravel water
claywaterbearingsandstreaks,sand water clay
claysand,sand clay
gravelwaterbearing,gravel water
clayyellow,clay
gravel,gravel
conglomeratewaterbearing,water conglomerate
shalelightgrey,shale
clay,clay
sandwaterbearing,sand water
gravelwaterbearing,gravel water
clay,clay
boulderswaterbearing,water boulders
clay,clay
shaledarkgrey,shale
clayredsandy,sand clay
shale,shale
sandcoarsegravel,gravel sand
clay,clay
claysandy,sand clay
sandcoarsegravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
clay,clay
clay,clay
gravel,gravel
gravelwaterbearing,gravel water
clay,clay
driller,diorite
sandwaterbearing,sand water
claygreyyellowsandy,sand clay
conglomeratedark,conglomerate
claysandy,sand clay
clayredsandy,sand clay
conglomerate,conglomerate
clayyellow,clay
sandwaterbearingsmallgravelcoarse,gravel water sand
claysandywaterbearing,sand water clay
clay,clay
sandwaterbearingclay,sand water clay
clay,clay
clay,clay
conglomeratehard,conglomerate
claywaterbearingsand,sand water clay
clayyellow,clay
clay,clay
conglomeratesoft,conglomerate
sandlargegravelwaterbearing,gravel water sand
topsoil,soil
gravelwaterbearing,gravel water
conglomerategrey,conglomerate
soilclay,soil clay
gravelwatersupply,gravel water
clay,clay
claystones,claystone
clay,clay
gravelwatersupply,gravel water
sandgravelwatersupply,gravel water sand
gravelwatersupply,gravel water
claygravel,gravel clay
sandgravel,gravel sand
clay,clay
driller,diorite
gravelsandwatersupply,gravel water sand
clay,clay
gravelfinesandwatersupply,gravel water sand
clay,clay
clay,clay
soilblack,soil
gravelsmallsandwatersupply,gravel water sand
clay,clay
sandgravelwatersupply,gravel water sand
claysandywatersupply,sand water clay
claygravel,gravel clay
gravel,gravel
loamred,loam
clay,clay
gravelwatersupply,gravel water
clay,clay
gravelsandwatersupply,gravel water sand
claysandywatersupply,sand water clay
gravelsandwatersupply,gravel water sand
clay,clay
clay,clay
soilblack,soil
claygravel,gravel clay
clay,clay
gravelwaterbearingwatersupply,gravel water
gravelclaybound,gravel clay
gravelfinewaterbearing,gravel water
soil,soil
clay,clay
gravelwatersupply,gravel water
soilsurface,soil
clay,clay
gravelwatersupply,gravel water
clay,clay
loam,loam
gravelwatersupply,gravel water
gravelwatersupply,gravel water
claygravel,gravel clay
clay,clay
clay,clay
gravelwatersupply,gravel water
soilblack,soil
clayyellow,clay
gravelwatersupply,gravel water
clay,clay
soil,soil
basalt,basalt
gravelwatersupply,gravel water
gravelsandcoarse,gravel sand
clayredsandy,sand clay
sand,sand
claysandy,sand clay
gravel,gravel
claysoftgravel,gravel clay
clayyellowsandy,sand clay
gravelsandfine,gravel sand
clay,clay
loamsandy,sand loam
claygrey,clay
soilblack,soil
gravelclayeyfine,gravel clay
gravelclayey,gravel clay
claygravel,gravel clay
gravelclayey,gravel clay
claygrey,clay
sandclayeyveryfine,sand clay
sandblackclayey,sand clay
clayhardgravel,gravel clay
gravelclayeyfine,gravel clay
sand,sand
sand,sand
sand,sand
clayredsandy,sand clay
claysandy,sand clay
clay,clay
sandgravelwatersupply,gravel water sand
sandgravelwatersupply,gravel water sand
gravel,gravel
sandgravelwatersupply,gravel water sand
sandclay,sand clay
topsoil,soil
claysandy,sand clay
clay,clay
gravelcoarsefossilswoodwatersupply,gravel water wood
gravelyellowcoarsewatersupply,gravel water
sandwatersupply,sand water
clay,clay
sandwatersupply,sand water
gravelcoarsewatersupply,gravel water
clayyellow,clay
claygrey,clay
gravelwatersupply,gravel water
clayyellow,clay
claygrey,clay
claylightbrownsandy,sand clay
soil,soil
claysandy,sand clay
claygravel,gravel clay
clay,clay
clayyellow,clay
clay,clay
clay,clay
gravelwatersupply,gravel water
claygravel,gravel clay
soilblack,soil
clay,clay
clay,clay
clay,clay
claysandy,sand clay
gravelwatersupply,gravel water
gravelwatersupply,gravel water
gravelwatersupply,gravel water
gravelwatersupply,gravel water
clay,clay
clay,clay
claysandy,sand clay
clay,clay
soil,soil
claysiltysomegravel,gravel silty clay
claysiltysomegravel,gravel silty clay
claygreysandysomegravel,gravel sand clay
claygreyhard,clay
gravelclayboundmedium,gravel clay
gravelfreecoarse,gravel
graveltracesfreeclaymediumcoarse,gravel clay
sandsomefreegravelmedium,gravel sand
clayverysandy,sand clay
topsoil,soil
graveltracesfreeclaycoarse,gravel clay
gravelmedium,gravel
sandclaymedium,sand clay
claymulticoloured,clay
sandclayfine,sand clay
claygreysandy,sand clay
sandmedium,sand
sandfine,sand
clay,clay
sandclayboundsomegravel,gravel sand clay
gravelfreemedium,gravel
gravel,gravel
claysilty,silty clay
claysiltysandy,silty sand clay
claysilty,silty clay
basalthard,basalt
shale,shale
sandstone,sandstone
shale,shale
shalesandy,sand shale
sandstone,sandstone
claygrey,clay
shale,shale
gravelwaterbearing,gravel water
basaltweathered,water basalt
gravelwaterbearing,gravel water
basalthard,basalt
shalesandy,sand shale
shalesandy,sand shale
sandstone,sandstone
basaltclaystone,basalt claystone
basalt,basalt
claywhitesandy,sand clay
shale,shale
basalt,basalt
claywhitesandy,sand clay
basaltdecomposedhardbands,basalt
claywhitesandy,sand clay
shale,shale
sandstone,sandstone
basalthardwaterbearing,water basalt
shale,shale
claywhitesandy,sand clay
basaltweathered,water basalt
sandstone,sandstone
sandstone,sandstone
soilblack,soil
gravelclay,gravel clay
shalesandstone,shale sandstone
sandstone,sandstone
sandstonewhite,sandstone
sandstonewhitesmallclaybands,sandstone clay
basaltmudstone,basalt mudstone
coalsoft,coal
sanddrygravel,gravel sand
gravelwaterbearing,gravel water
clay,clay
claygravel,gravel clay
topsoil,soil
claycoloured,clay
clay,clay
claygravel,gravel clay
claysandy,sand clay
stoneswhiteclay,stones clay
clay,clay
gravelwatersupply,gravel water
clay,clay
claysilty,silty clay
gravelwatersupply,gravel water
claygravel,gravel clay
clay,clay
topsoil,soil
claygravel,gravel clay
claygravel,gravel clay
claygravel,gravel clay
claygravel,gravel clay
claysandy,sand clay
claysandy,sand clay
claysandy,sand clay
gravelwatersupply,gravel water
gravelwatersupply,gravel water
clay,clay
clay,clay
claysandy,sand clay
claygravel,gravel clay
gravelwatersupply,gravel water
claysandy,sand clay
claysandy,sand clay
gravelclay,gravel clay
clay,clay
topsoil,soil
claysandy,sand clay
claygravel,gravel clay
gravelwatersupply,gravel water
gravelwatersupply,gravel water
claysandy,sand clay
claygravel,gravel clay
gravelwatersupply,gravel water
clay,clay
clay,clay
claysandy,sand clay
clay,clay
claygravel,gravel clay
claygravel,gravel clay
claygravel,gravel clay
gravelwatersupply,gravel water
claysandy,sand clay
claysandy,sand clay
claysandy,sand clay
claygravel,gravel clay
clay,clay
claygravel,gravel clay
clay,clay
claysandy,sand clay
gravelwaterbearing,gravel water
topsoil,soil
gravelwatersupply,gravel water
claysandy,sand clay
claygravel,gravel clay
clay,clay
claygravel,gravel clay
claygravel,gravel clay
claygravel,gravel clay
claysandy,sand clay
gravel,gravel
gravel,gravel
claysandy,sand clay
claysandy,sand clay
gravel,gravel
gravelclay,gravel clay
claysandy,sand clay
claysandy,sand clay
gravelclay,gravel clay
soilblack,soil
clay,clay
clayhard,clay
gravelsand,gravel sand
clay,clay
sandgravel,gravel sand
claybands,sand clay
someclay,clay
topsoil,soil
claymulticoloured,clay
gravelsand,gravel sand
claysomegravel,gravel clay
clay,clay
claygravel,gravel clay
gravelsand,gravel sand
gravelsand,gravel sand
claygrey,clay
claygravel,gravel clay
clay,clay
gravelsand,gravel sand
claygrey,clay
claygravel,gravel clay
gravelsomeclay,gravel clay
claygravel,gravel clay
topsoil,soil
claysandy,sand clay
clayyellow,clay
gravelsand,gravel sand
claysandy,sand clay
claygravel,gravel clay
claygravel,gravel clay
gravelsand,gravel sand
gravelsand,gravel sand
claygravel,gravel clay
claymulticoloured,clay
claymulticolouredsomesand,sand clay
claysandy,sand clay
claymulticoloured,clay
sandcoarse,sand
gravelfinemedium,gravel
gravelfinemedium,gravel
claygreysomegravel,gravel clay
gravelfine,gravel
gravelsomeclaymediumcoarsebands,gravel carbonaceous clay
claymulticolouredsomesandveryfine,sand clay
sandcoarse,sand
gravelsandmedium,gravel sand
sandstone,sandstone
gravelclayboundfine,gravel clay
clay,clay
gravel,gravel
claysandy,sand clay
sandcoarse,sand
sandstonedecomposed,sandstone
claysandy,sand clay
gravelsomeclayfinebands,gravel clay
soil,soil
claysomegravel,gravel clay
gravelsomeclayfine,gravel clay
claysandy,sand clay
claysandy,sand clay
gravelveryclayeywatersupply,gravel water clay
claymulticoloured,clay
claygravel,gravel clay
claygravel,gravel clay
gravelsandcoarsewatersupply,gravel water sand
claybands,sand clay
sandgravelwatersupply,gravel water sand
sandgravelwatersupply,gravel water sand
claysandy,sand clay
sandgravelwatersupply,gravel water sand
claygravel,gravel clay
sandgravelwatersupply,gravel water sand
soilblack,soil
claysticky,clay
clay,clay
claysticky,clay
claygravel,gravel clay
clay,clay
sandgravelwatersupply,gravel water sand
claygravel,gravel clay
claygrey,clay
sandclayeywatersupply,sand water clay
claygravel,gravel clay
claysandy,sand clay
topsoil,soil
clayyellow,clay
gravelmedium,gravel
clayyellow,clay
clayyellow,clay
sandclaybands,sand clay
sandfinemedium,sand
gravellarge,gravel
sandfine,sand
claygravel,gravel clay
claysandy,sand clay
sandcoarse,sand
claygravel,gravel clay
clay,clay
gravelsandwatersupply,gravel water sand
gravelclaybound,gravel clay
clayhard,clay
topsoil,soil
soilblack,soil
sandcoarse,sand
clay,clay
clay,clay
clayhard,clay
claygrey,clay
claysomesmallbands,clay
claygravel,gravel clay
claygravel,gravel clay
clay,clay
gravelfinemedium,gravel
sandgravel,gravel sand
gravelsand,gravel sand
gravelsand,gravel sand
claysandy,sand clay
claygravel,gravel clay
claywhite,clay
sandgravelwatersupply,gravel water sand
sandsilty,silty sand
clayyellow,clay
gravelwatersupply,gravel water
claygreyyellow,clay
sandfinewatersupply,sand water
clayyellow,clay
sandwatersupply,sand water
claygrey,clay
claysandy,sand clay
soilblack,soil
claywhite,clay
claysandy,sand clay
claygrey,clay
clay,clay
sandcoarsewatersupply,sand water
claygravel,gravel clay
claywhite,clay
sandgravel,gravel sand
gravelsandcoarse,gravel sand
gravelsandfine,gravel sand
sand,sand
sandgravel,gravel sand
claygrey,clay
clay,clay
claygravel,gravel clay
claywhiteveryhard,clay
claygravel,gravel clay
claysandy,sand clay
claymulticoloured,clay
claywhitesoft,clay
soilblack,soil
claysandy,sand clay
claysandy,sand clay
soil,soil
sandcoarse,sand
claywhite,clay
sand,sand
clayhardsandy,sand clay
claywhite,clay
gravelsand,gravel sand
gravelsomeclay,gravel clay
gravelsand,gravel sand
clay,clay
claymulticoloured,clay
claysomegravel,gravel clay
claysomegravel,gravel clay
gravelsandfine,gravel sand
claysandy,sand clay
claysandy,sand clay
claygrey,clay
clayredsoft,clay
gravelcoarse,gravel
sandgravelwatersupply,gravel water sand
sanddry,sand
gravel,gravel
clayredsoft,clay
claysand,sand clay
clay,clay
gravelclaycemented,gravel cement clay
clay,clay
clayredsoft,clay
sandclaycemented,sand cement clay
topsoil,soil
sandlightbrowncoarse,sand
clay,clay
gravelwatersupply,gravel water
claydrysandy,sand clay
gravelwatersupply,gravel water
clay,clay
gravelwatersupply,gravel water
topsoil,soil
clay,clay
clay,clay
clay,clay
gravel,gravel
claysandy,sand clay
clay,clay
claysandy,sand clay
gravelwatersupply,gravel water
claygravel,gravel clay
claysandy,sand clay
claygravel,gravel clay
clay,clay
claysandy,sand clay
clay,clay
claygravel,gravel clay
graveldry,gravel
topsoil,soil
gravelwatersupply,gravel water
graveldirtywatersupply,gravel water
clay,clay
clayhard,clay
claysandy,sand clay
soilblacksurface,soil
clayhard,clay
clayhard,clay
sandfinesomegravel,gravel sand
claysandy,sand clay
claysticky,clay
clayblack,clay
graveldirty,gravel
clayhard,clay
claysoft,clay
claylightbrown,clay
claydarkbrown,clay
claysandy,sand clay
claysoftsandy,sand clay
clayhard,clay
clayhard,clay
gravelwatersupply,gravel water
soilblacksurface,soil
graveldirty,gravel
gravelwatersupply,gravel water
sand,sand
claysandy,sand clay
sandgravelwatersupply,gravel water sand
claysandy,sand clay
clayhardsandy,sand clay
claysandy,sand clay
clayhard,clay
claylightbrown,clay
graveldirtylimestone,gravel limestone
claysoft,clay
soilblacksurface,soil
claysandy,sand clay
sandfine,sand
clayhardsticky,clay
gravelwatersupply,gravel water
clayyellow,clay
sanddry,sand
topsoil,soil
clayyellow,clay
clayyellow,clay
claywhite,clay
claysandfine,sand clay
gravelsomesandmedium,gravel sand
sandfinecoarse,sand
clayyellowsandy,sand clay
loamsandy,sand loam
gravelclaymedium,gravel clay
sandfine,sand
clay,clay
clay,clay
gravelwatersupply,gravel water
clay,clay
sandgravelwatersupply,gravel water sand
sand,sand
gravelwatersupply,gravel water
clay,clay
topsoilblack,soil
clay,clay
claysandwatersupply,sand water clay
clay,clay
sandwatersupply,sand water
gravel,gravel
topsoil,soil
clay,clay
clay,clay
clay,clay
clay,clay
gravel,gravel
clay,clay
gravel,gravel
topsoil,soil
claywhite,clay
sanddry,sand
clayyellow,clay
clayyellow,clay
gravelwatersupply,gravel water
gravelfinecoarsewatersupply,gravel water
gravelfinemediumwatersupply,gravel water
clay,clay
claygravel,gravel clay
claymulticoloured,clay
soilblack,soil
clay,clay
gravelwatersupply,gravel water
clay,clay
claysilty,silty clay
clay,clay
claysand,sand clay
clay,clay
clay,clay
clay,clay
claygravel,gravel clay
shaleclay,shale clay
rockyellowclay,rock clay
claysilty,silty clay
soilblack,soil
claysilty,silty clay
claysilty,silty clay
sandfinewatersupply,sand water
clay,clay
clay,clay
clay,clay
clayblack,clay
gravelfinewatersupply,gravel water
clay,clay
soilblack,soil
gravelwatersupply,gravel water
sandfinewatersupply,sand water
clay,clay
sandgravelwatersupply,gravel water sand
clay,clay
clay,clay
slipperyback,
clayyellowsandy,sand clay
sandgravelfine,gravel sand
soilblack,soil
claywhite,clay
sandgravel,gravel sand
clayblack,clay
sandsomesmallgravel,gravel sand
sandlightcoarsewatersupply,sand water
sandverycleancoarsewatersupplystonesblacksmall,sand water stones
claystickysandsomesmallgravelfine,gravel sand clay
sandfreesomegravelwatersupply,gravel water sand
claylightgreystonesblacklarge,stones clay
sandgravelwatersupply,gravel water sand
clayslatey,slate clay
sandlightfinewatersupplyclaywaddysomesmallstones,sand water stones clay
clayyellowsandy,sand clay
topsoilblack,soil
claywaddy,clay
sandsomelargestonesgravelsmallcoloured,gravel sand stones
claylightbrown,clay
claywhitesticky,clay
claylightbrownsandy,sand clay
claywaddystoneslarge,stones clay
sandsmallgravelcoarsewatersupply,gravel water sand
sandsomewaddypipeclayfine,sand clay
claywhitelightblue,clay
sandyellowsomeclaymixedgravel,gravel sand clay
sandveryfineclaywaddysomecoloured,sand clay
sandfine,sand
claydarkyellow,clay
clayhardcoloured,clay
sandfinewatersupplygravelverysmall,gravel water sand
claydarkbrownsandy,sand clay
sandyellowclay,sand clay
soilredsandy,sand soil
clay,clay
slipperybacksandgravel,gravel sand
claydarkbrown,clay
sandgravelwatersupply,gravel water sand
claysandy,sand clay
sandgravelwatersupply,gravel water sand
gravelsmallsomesand,gravel sand
clay,clay
claywatersupply,water clay
sandgravelwatersupply,gravel water sand
sandgravel,gravel sand
