Description,Extracted
shalegreysandy,sand shale
shaleblack,shale
shaleblack,shale
sandstonegrey,sandstone
shaleblack,shale
rock,rock
shale,shale
shaleblack,shale
rockhard,rock
sandstonegrey,sandstone
shale,shale
shaleblackunknown,shale
sandrockunknown,sand rock
shaleblackhardrock,shale rock
rockseam,rock
sandstonewhitegrey,sandstone
sandstonewhite,sandstone
shale,shale
sandgravel,gravel sand
sandstonegrey,sandstone
sandstonegrey,sandstone
shale,shale
claysandywatersupply,sand water clay
driller,diorite
claysandywatersupply,sand water clay
sandwatersupply,sand water
clay,clay
claygreysandywatersupply,sand water clay
claygreysandy,sand clay
clayyellowsandywatersupply,sand water clay
driller,diorite
clayyellowsandy,sand clay
sandstonelightgrey,sandstone
claygravel,gravel clay
claysandylight,sand clay
sandstonered,sandstone
claysandstonewatersupply,water sandstone clay
cementgreyhard,cement
sandrockclay,sand rock clay
rubbleheavy,
clayyellowsandy,sand clay
shale,shale
clay,clay
sandstonehard,sandstone
sandstonewatersupply,water sandstone
sandstonewatersupply,water sandstone
diorite,diorite
rockveryhard,rock
sandstoneyellow,sandstone
clayboulder,boulders clay
sandstonewhite,sandstone
shalegreyhard,shale
shalegreysandstone,shale sandstone
sandstoneyellowclayboulder,sandstone clay
shalegreyboulder,shale
sandstone,sandstone
shalegreywhitesandstone,shale sandstone
shalesandstone,shale sandstone
shale,shale
clay,clay
sandstonewatersupply,water sandstone
claygravel,gravel clay
bouldersgravel,gravel boulders
gravel,gravel
clay,clay
sandstonegrey,sandstone
sanddry,sand
shaleblackclay,shale clay
sandstonewhitegrey,sandstone
sandstonewhitegrey,sandstone
claygrey,clay
sandstonewhite,sandstone
claygreyshale,shale clay
claygreysandstone,sandstone clay
sandstonemulticoloured,sandstone
sandstoneshale,shale sandstone
rockwhitehard,rock
clay,clay
shale,shale
sandstonewatersupply,water sandstone
shale,shale
sandstone,sandstone
shale,shale
sandstone,sandstone
sandrockwhite,sand rock
sandstonewhite,sandstone
sandstonegreen,sandstone
clayredyellow,clay
shalereddish,shale
clayblacksomebrokenrock,rock clay
shale,shale
shaleblack,shale
